Txn Date,Merchant,Details,Withdrawal,Deposit,Acct Balance,Class,Memo,Reference ID
01/02/2026, shell gas station 123 ,Fuel purchase #458,52.43,,1250.10,,vehicle trip,abc-001
2026-01-02,Amazon Web Services,AWS Jan invoice,,350.00,1600.10,,Cloud monthly,abc-002
1-3-26,Acme Supplies,Office paper,24.10,,1576.00,Office,,abc-003
01/03/2026,Acme Supplies,Office paper,24.10,,1551.90,Office,,abc-003
01/04/2026,,Transfer to savings,500.00,,1051.90,Transfers,,abc-004
01/04/2026,Savings Account,Transfer from checking,,500.00,1551.90,Transfers,,abc-005
bad-date,Local Cafe,Lunch meeting,18.72,,1533.18,,,
01/05/2026,   ,,,$45.00,1578.18,,,
01/05/2026,Vendor X,Data entry error,(100.00),,1478.18,,,
01/06/2026,Payroll,Payroll Deposit,,2500.00,3978.18,Income,jan payroll,
